Number Energy PSNR
388 9.2610516 12.4536
389 8.8044942 13.4733
390 8.3362418 14.8713
391 12.5562484 11.7782
392 11.5794134 0
393 11.0694176 0
394 10.6915688 0
395 10.1780534 10.4124
396 9.8153714 11.1502
397 9.3095992 10.3063
398 9.0649892 10.3192
399 8.6936846 10.8159
400 8.4092902 11.4844
401 13.2805064 18.6582
402 13.3561996 12.5268
403 13.0714596 11.5585
404 12.6493914 13.1819
405 12.3562366 15.7072
406 11.819798 21.7022
407 11.332984 15.7528
408 11.1018848 14.453
409 10.6815446 16.0645
410 10.1511772 19.6858
411 14.2120798 22.6925
412 13.626085 13.1564
413 13.2897726 12.0905
414 12.694332 13.274
415 12.2702184 15.567
416 11.765464 21.5741
417 11.1689384 15.4636
418 11.6105702 14.275
419 10.5942778 15.8592
420 10.3287274 22.0246
421 13.5573862 19.2574
422 13.5988782 12.5833
423 13.3863792 11.8818
424 12.7545652 12.1046
425 12.2260696 13.7766
426 11.7304264 17.6942
427 11.145403 13.6424
428 10.9808498 13.0032
429 10.4491208 14.737
430 10.127931 16.763
431 14.0734534 18.7859
432 13.7527542 12.2613
433 13.2165906 11.3564
434 12.8708594 13.1953
435 12.232382 15.7078
436 11.9028094 21.6952
437 11.402646 15.7799
438 11.0404804 14.486
439 10.5369698 16.0862
440 10.1571608 19.5982
441 13.3557224 14.1829
442 13.3097788 11.0128
443 12.8439868 10.1988
444 12.2825732 11.9707
445 11.9836868 13.4586
446 11.3596278 15.7561
447 11.0068466 13.8467
448 10.7178142 13.386
449 10.5125206 14.4422
450 9.76321 15.7038
451 13.3505384 18.6678
452 13.4845606 12.5422
453 13.7096686 11.5466
454 13.1900052 13.2046
455 12.2526256 15.6984
456 11.781998 21.7311
457 11.292389 15.7695
458 11.1645326 14.4848
459 10.5233512 16.0845
460 10.2636654 19.4974
461 13.2837576 22.6875
462 13.3985626 13.1538
463 12.9914656 12.0732
464 12.6054694 12.9475
465 12.3685252 15.5799
466 12.0160402 21.5218
467 11.2845652 15.4879
468 11.0215818 14.2203
469 10.3375504 15.8236
470 10.2568716 21.7945
471 13.638804 19.3833
472 13.5442818 12.5973
473 13.3910518 11.8764
474 12.9231908 12.1327
475 13.2121632 13.8233
476 11.9182836 17.7214
477 11.204517 13.6419
478 11.109614 13.0219
479 10.6991902 14.7156
480 10.3022244 16.6829
481 13.6772392 18.8463
482 13.7958538 12.2544
483 13.5086426 11.4417
484 12.8017142 13.2057
485 12.2055818 15.6946
486 11.7346154 21.74
487 11.34164 15.7599
488 10.910587 14.5111
489 10.7409612 16.1025
490 9.8086614 19.5821
491 13.4616744 14.2353
492 13.2012112 11.0105
493 12.713641 10.1863
494 12.3715946 11.9792
495 12.7431222 13.4185
496 11.9721254 15.7871
497 11.1174612 13.6746
498 10.7127584 13.3912
499 10.3457284 14.4742
500 9.878559 15.6659
501 13.6098046 18.6613
502 13.3195632 12.6269
503 12.9940612 11.7886
504 12.7700616 12.9193
505 12.5102462 15.3866
506 11.6873476 20.1288
507 11.5182648 15.1528
508 10.9885194 13.6733
509 10.469067 15.0188
510 9.9497078 16.588
511 13.943902 22.6541
512 14.1288426 13.2753
513 13.039075 12.1789
514 12.708596 12.9279
515 12.2369764 15.132
516 13.0259944 19.8195
517 11.562709 15.052
518 10.8632028 13.6717
519 10.3934648 14.4871
520 10.105844 16.1818
521 13.808315 19.379
522 13.8028694 12.768
523 13.3630864 12.086
524 12.8293018 11.8982
525 12.3717474 13.4793
526 11.58075 16.3167
527 11.4517304 13.2771
528 10.96074 12.5604
529 10.7428574 14.1825
530 10.1749446 15.8184
531 13.6397942 18.8369
532 13.5418802 12.4734
533 13.3439366 11.8748
534 12.9980696 12.9238
535 12.2121478 15.3793
536 11.8653512 20.1548
537 11.5831224 15.1503
538 11.9448834 13.6855
539 10.6427484 14.9735
540 10.211319 16.5426
541 13.4383272 14.2109
542 13.2594924 11.0902
543 12.9060044 10.6911
544 12.6198842 12.057
545 11.9621442 13.563
546 11.4941908 15.8882
547 11.1157476 13.8792
548 10.6283668 12.8918
549 10.4785408 14.0039
550 10.1620054 14.9444
551 13.5593642 18.207
552 13.5463064 12.6426
553 13.5779116 11.5933
554 13.2813682 13.1353
555 12.8740032 15.4762
556 12.4205288 21.3307
557 11.821599 15.5815
558 11.6794904 14.466
559 11.4826092 16.3
560 11.0366592 18.8953
561 14.8834594 21.1171
562 13.7663802 13.2695
563 13.4475606 12.1298
564 13.27561 13.0496
565 12.81658 15.7454
566 12.2122284 22.4908
567 11.9724502 15.4409
568 11.6737968 14.7757
569 10.998788 16.5848
570 10.5820944 20.8689
571 14.1543974 18.3146
572 13.8126288 12.7754
573 13.7043644 12.0278
574 13.1766088 12.12
575 12.6926362 14.0426
576 12.467628 17.6941
577 11.9434518 13.9155
578 11.5758258 13.2265
579 12.1713678 14.4183
580 10.78398 16.9146
581 14.0625116 17.5918
582 13.8279186 12.4544
583 13.5885644 11.6859
584 13.1458284 13.1413
585 12.7318634 15.4663
586 12.2131026 20.5448
587 12.0271788 15.57
588 11.3888218 14.4937
589 11.159049 16.2933
590 10.6958048 18.8178
591 13.8274662 13.917
592 13.4515208 11.1081
593 13.2671784 10.4548
594 12.7863342 11.9866
595 12.5977628 13.6116
596 11.991985 15.9463
597 11.4272234 13.9214
598 11.1965042 13.2542
599 10.7299654 14.4026
600 10.3944178 15.4822
601 13.0886108 18.7628
602 12.9771798 12.5486
603 12.7543212 11.5407
604 12.654973 13.2069
605 11.9776964 15.6705
606 11.4568202 21.4767
607 10.929068 15.763
608 10.5682348 14.4557
609 10.1966932 15.9896
610 9.7833362 20.3053
611 13.1803912 22.6834
612 13.002966 13.1656
613 12.9063602 12.0942
614 12.3603572 13.3118
615 12.0741724 15.525
616 11.410281 21.3672
617 11.0487362 15.4732
618 10.6534478 14.2075
619 10.2695516 16.5659
620 9.8567064 21.3911
621 14.0963628 19.4515
622 13.5618398 12.6119
623 12.9360428 11.8828
624 12.4493262 12.1274
625 11.989222 13.794
626 11.5380788 17.6806
627 10.9564836 13.6238
628 10.62408 13.486
629 10.1740086 14.7038
630 10.0500904 16.5324
631 13.4583564 18.8722
632 13.1908228 12.2729
633 13.026064 11.612
634 12.4220592 13.1998
635 12.0405084 15.644
636 11.6945188 21.5797
637 10.9896562 15.7577
638 10.6701078 14.4416
639 10.2626146 16.0088
640 9.7324634 20.2051
641 13.0768688 14.18
642 14.1185834 11.0109
643 12.5471856 10.21
644 12.2289238 11.9812
645 11.603043 13.3856
646 11.8358874 15.7195
647 12.0817348 13.6862
648 10.3937066 13.325
649 10.0001642 14.3992
650 9.4705454 15.4843
651 13.0951042 18.7497
652 13.0410894 12.5443
653 12.7706304 11.5596
654 12.6912358 13.2156
655 11.8563262 15.6573
656 11.4015082 21.5063
657 11.0322162 15.7439
658 10.8184702 14.439
659 10.1893648 15.9835
660 9.8234046 20.0782
661 13.0037588 22.6308
662 13.3869028 13.1774
663 12.7611612 12.0976
664 13.5373334 13.3089
665 12.2521102 15.52
666 11.4499084 21.3679
667 10.9803294 15.4593
668 10.610414 14.1948
669 10.1545788 16.5493
670 9.8976846 21.2312
671 13.2204378 19.492
672 13.2439626 12.6151
673 12.9502566 11.9002
674 12.4351742 12.1315
675 12.157953 13.7563
676 11.5826958 17.6489
677 10.989915 13.6513
678 10.6822172 13.4502
679 10.361566 14.6954
680 9.376226 17.7068
681 13.3856686 18.9076
682 13.4551566 12.2869
683 13.323267 11.5992
684 12.8473702 13.207
685 12.9407688 15.6522
686 11.4782554 21.4719
687 10.8828648 15.7568
688 10.7055688 14.4371
